"location","year","multiplier_type","sna1_aic","sna1_changes_in_inventories","sna1_domestic_demand","sna1_exports","sna1_final_consumption","sna1_gdp","sna1_gov_consumption_all","sna1_gov_consumption_col","sna1_gov_consumption_ind","sna1_gross_capital_formation","sna1_gross_fixed_capital_formation","sna1_hh_consumption","sna1_imports","sna1_net_exports"
"GRC",1974,"GDP_CONSTANT_PER_CAPITA",11988.9319266956,3121.01016294075,20422.2684920975,2642.15307160382,13312.5198968483,18586.154631,2533.62278370353,NA,NA,7109.74859524919,4780.67795299806,10733.7396156775,3951.63968570369,-1260.77586816486
"GRC",1974,"GDP_CURRENT_PER_CAPITA",2964.10782174363,771.629257074598,5049.14083633962,653.238056039526,3291.34776931223,4595.185514,626.405350905467,NA,NA,1757.79306702739,1181.9605783369,2653.77781322996,976.991626337078,-311.710470552575
"GRC",1975,"AIC_CONSTANT_PER_CAPITA",11302.581185,2482.76253624336,19043.0845594885,2458.34694702021,12712.3180467878,17383.7272623042,2582.28094678739,NA,NA,6330.76651270067,4452.27054329744,10119.2466024636,3682.10541962081,-1179.72997868997
"GRC",1975,"AIC_CURRENT_PER_CAPITA",2894.416844,635.797220735021,4876.64046013218,629.544764632565,3255.42872717775,4451.70463064586,661.282351879138,NA,NA,1621.21173295443,1140.15786691871,2591.38309518458,942.930448672922,-302.110665325162
"GRC",1975,"CURRENT_LCU_MILLIONS",1745.2727,383.3724,2940.512,379.6023,1962.9553,2684.2846,398.7394,NA,NA,977.5567,687.4913,1562.5497,568.5673,-182.1664
"GRC",1975,"GDP_CONSTANT_PER_CAPITA",12734.4786723583,2797.29789583646,21455.6082552679,2769.78915290898,14322.811789036,19586.030876,2909.42406027949,NA,NA,7132.79646623189,5016.31825059883,11401.2302084081,4148.58271469574,-1329.18720130115
"GRC",1975,"GDP_CURRENT_PER_CAPITA",3440.06133391448,755.655302308915,5795.96623101452,748.224156886775,3869.12980861529,5290.92311,785.944793755302,NA,NA,1926.83642239923,1355.09610534365,3079.9008116552,1120.68812195261,-359.063422569091
"GRC",1976,"AIC_CONSTANT_PER_CAPITA",11789.977452,2978.6623078437,20377.015547884,2611.73733690374,13273.4690870583,18590.6260096768,2709.14374026162,NA,NA,7103.54646082565,4868.58278578025,10555.6144992107,3872.42989533725,-1204.40438399239
"GRC",1976,"AIC_CURRENT_PER_CAPITA",3186.355744,805.012375356498,5507.08606533961,705.847343571536,3587.28374507452,5024.29696847645,732.172368713048,NA,NA,1919.80232026509,1315.78171271047,2852.75718532475,1046.56173351307,-325.501964923769
"GRC",1976,"CURRENT_LCU_MILLIONS",2117.929,535.0812,3660.4881,469.1675,2384.4206,3339.5845,486.6654,NA,NA,1276.0675,874.5829,1896.1904,695.6359,-216.3569
"GRC",1976,"GDP_CONSTANT_PER_CAPITA",13097.1406599515,3308.90872210337,22636.2297932455,2901.30251796817,14745.1080705189,20651.781973,3009.50843873028,NA,NA,7891.12172272664,5408.36603119761,11725.9230063188,4301.76895939948,-1337.93755694883
"GRC",1976,"GDP_CURRENT_PER_CAPITA",3732.74121555484,943.053166045009,6451.42249807147,826.883651080288,4202.41898988965,5885.846365,857.722802211254,NA,NA,2249.00350818182,1541.40749630865,3341.93830795055,1226.02258855211,-381.317937428344
