"location","year","multiplier_type","sna2_cfc","sna2_consumption","sna2_gdi","sna2_gdp","sna2_gndi","sna2_gni_mkt","sna2_net_primary","sna2_net_secondary","sna2_nndi","sna2_nni_mkt","sna2_saving_net"
"POL",2001,"AIC_CONSTANT_PER_CAPITA",2171.26760043236,12591.3579184447,15159.8256825339,15159.8256825339,15324.2567543942,15111.9929558379,-319.629902688253,212.263798556303,13152.9891539618,12940.7253554055,561.631235517163
"POL",2001,"AIC_CURRENT_PER_CAPITA",1684.84853897735,9770.5741053788,11763.6398881844,11763.6398881844,11891.2342257645,11726.5229065314,-248.024690485198,164.711319233132,10206.3856867872,10041.674367554,435.811581408348
"POL",2001,"CURRENT_LCU_MILLIONS",111712,647827,779975,779975,788435,777514,-16445,10921,676723,665802,28896
"POL",2001,"GDP_CONSTANT_PER_CAPITA",2065.9305033538,11980.4995004671,14424.3603583624,14424.3603583624,14580.8142044879,14378.8481934316,-304.123345098587,201.966011056349,12514.8837011341,12312.9176900778,534.384200666997
"POL",2001,"GDP_CURRENT_PER_CAPITA",1589.96000216865,9220.30774066267,11101.1265816697,11101.1265816697,11221.5349676833,11066.0999814358,-234.05625389988,155.434986247527,9631.57496551466,9476.13997926713,411.267224851987
"POL",2002,"AIC_CONSTANT_PER_CAPITA",2189.89073143837,13023.2599468696,15328.2329250184,15328.2329250184,15511.5778911873,15277.5558922901,-269.439193785211,234.02199889717,13321.6871597489,13087.6651608518,298.427212879374
"POL",2002,"AIC_CURRENT_PER_CAPITA",1819.05231529459,10817.8873123392,12732.5337247833,12732.5337247833,12884.8308601697,12690.4383944579,-223.812075301206,194.39246571182,11065.7785448751,10871.3860791633,247.891232535871
"POL",2002,"CURRENT_LCU_MILLIONS",115810,688721,810617,810617,820313,807937,-14249,12376,704503,692127,15782
"POL",2002,"GDP_CONSTANT_PER_CAPITA",2103.87219734498,12511.7085193647,14726.1425524151,14726.1425524151,14902.2857596119,14677.4561048813,-258.855668249448,224.829654730519,12798.4135622669,12573.5839075364,286.705042902154
"POL",2002,"GDP_CURRENT_PER_CAPITA",1683.04609724795,10009.0595902142,11780.5524411782,11780.5524411782,11921.4626817352,11741.6044786479,-207.078178392937,179.858203087304,10238.4165844873,10058.5583814,229.356994273095
"POL",2003,"AIC_CONSTANT_PER_CAPITA",2290.78478048349,13318.7647138371,15889.1732482322,15889.1732482322,16021.5376328506,15736.5794834187,-398.802414391812,284.939366349086,13730.7528523671,13445.7947029352,411.988138530049
"POL",2003,"AIC_CURRENT_PER_CAPITA",1890.40130667535,10990.9103783313,13112.0627857977,13112.0627857977,13221.2925169238,12986.1393665173,-329.099709276247,235.137650231757,11330.8912102484,11095.738059842,339.980831917163
"POL",2003,"CURRENT_LCU_MILLIONS",121960,709083,845930,845930,852977,837806,-21232,15170,731017,715846,21934
"POL",2003,"GDP_CONSTANT_PER_CAPITA",2200.87272130446,12796.0104283431,15265.531823,15265.531823,15392.7009773706,15118.9272806265,-383.149636099838,273.755650887083,13191.8282560661,12918.054559322,395.817827722958
"POL",2003,"GDP_CURRENT_PER_CAPITA",1767.58820405197,10276.8673867972,12260.215558,12260.215558,12362.3489957989,12142.472965595,-307.719192755259,219.861537024175,10594.7607917469,10374.884761543,317.893404949785
