"location","year","multiplier_type","vaact_health_cfc","vaact_health_coe","vaact_health_coewage","vaact_health_gosmi","vaact_health_gva","vaact_health_interc","vaact_health_nosmi","vaact_health_out","vaact_health_taxsub","vaact_total_cfc","vaact_total_coe","vaact_total_coewage","vaact_total_gosmi","vaact_total_gva","vaact_total_interc","vaact_total_nosmi","vaact_total_out","vaact_total_taxsub"
"AUS",1991,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5079.70735013245,14723.1316464204,13475.6353677137,11748.2897259492,27158.5914352741,NA,6668.58237581676,NA,687.240103681483
"AUS",1991,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3111.89161127185,9019.57272419486,8255.3410594122,7197.1477341149,16637.6893462544,NA,4085.25612284305,NA,421.011795791787
"AUS",1992,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5067.22734361168,14467.7826289242,13199.6690392179,12039.0731675159,27170.4882343382,NA,6971.84582390424,NA,663.632437898089
"AUS",1992,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3295.65295917955,9409.64109176833,8584.87795779124,7830.04282614708,17671.3010646226,NA,4534.38986696753,NA,431.617146707199
"AUS",1992,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,76585,218663,199497,181956,410649,NA,105371,NA,10030
"AUS",1992,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5257.35463816375,15010.6278937756,13694.9334497585,12490.7908930172,28189.9513587166,NA,7233.43625485347,NA,688.532571923777
"AUS",1992,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3298.41740616426,9417.53405084673,8592.07909221848,7836.61079266207,17686.1240376568,NA,4538.19338649781,NA,431.979194148039
"AUS",1993,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5215.354575071,14691.6627359169,13391.4026122753,12393.5435587456,27814.9664890182,NA,7178.18898367461,NA,729.760194355681
"AUS",1993,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3477.08638644663,9794.95828289423,8928.07249216305,8262.79804520501,18544.288777742,NA,4785.71165875838,NA,486.532449642743
"AUS",1993,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,80886,227856,207690,192214,431388,NA,111328,NA,11318
"AUS",1993,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5447.6547320685,15346.0526745073,13987.8769045732,12945.571627597,29053.8891718909,NA,7497.91689552854,NA,762.264869786505
"AUS",1993,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3494.15217505337,9843.03263851544,8971.89211033842,8303.3524488256,18635.3054730352,NA,4809.20027377224,NA,488.920385694113
"AUS",1994,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5278.71710441484,15153.2526366928,13760.0540604094,12541.5461197769,28486.3617803232,NA,7262.82901536201,NA,791.563023853526
"AUS",1994,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3593.23527734386,10314.8550800591,9366.50149837924,8537.06024752253,19390.7341589929,NA,4943.82497017867,NA,538.818831411266
"AUS",1994,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,84186,241667,219448,200015,454306,NA,115829,NA,12624
"AUS",1994,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5491.15734776784,15763.0903328702,14313.8229355588,13046.2765413939,29632.7860931154,NA,7555.11919362603,NA,823.419218851367
"AUS",1994,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3634.38040598321,10432.9675904871,9473.75467811991,8634.81572830079,19612.7720134061,NA,5000.43532231759,NA,544.98869461825
"AUS",1995,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5288.51414441383,15649.6674458251,14189.912561711,12787.6316734068,29278.619303953,NA,7499.11752899299,NA,841.32018472105
"AUS",1995,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3676.26914200275,10878.74362111,9864.00645887226,8889.22189418727,20352.8026451934,NA,5212.95275218452,NA,584.837129896125
